Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep,VisitorType_New_Visitor,VisitorType_Other,VisitorType_Returning_Visitor,Weekend,Browser,Region,TrafficType,OperatingSystems,Revenue
-0.09815025880158067,0.4753275873744411,-0.39678133220882345,-0.24860732278732312,0.08649192036799833,-0.11819618553396816,-0.4501463020948204,-0.6680277902281933,-0.3160394114794245,-0.3052680431091731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,6.0,2.0,0
-0.7057572594841192,-0.4642317440146919,0.3810302605080142,0.42258455004328244,-0.047512518461129194,-0.08478894761099456,-0.1633387188214913,-0.1268840477843173,-0.3160394114794245,0.7071173964411631,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0
-0.7057572594841192,-0.4642317440146919,-0.39678133220882345,-0.24860732278732312,-0.18151695729025671,-0.47118699314545853,1.8652273897174168,1.9646283408090643,-0.3160394114794245,2.731888275541835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,13.0,3.0,0
0.5094567418809578,0.039834849900228265,-0.39678133220882345,-0.24860732278732312,0.15349413978256207,-0.2913602970142838,-0.4501463020948204,-0.4721652149100525,-0.3160394114794245,-0.3052680431091731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0
-0.7057572594841192,-0.4642317440146919,-0.39678133220882345,-0.24860732278732312,0.46617116371719297,0.5919180801747735,0.6052070765690463,0.49028079642693995,-0.3160394114794245,1.7195028359914994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,0
1.724670743246035,1.6828366168800162,1.9366534459416895,1.6639286589342948,0.6225096756845084,0.4596429398334391,-0.1387453159618801,-0.3199392733419178,-0.22702382441386149,-0.3052680431091731,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1
-0.7057572594841192,-0.4642317440146919,-0.39678133220882345,-0.24860732278732312,-0.6728665663303909,-0.6446244904592136,3.995371171959019,3.4402471771870182,-0.3160394114794245,-0.3052680431091731,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,13.0,3.0,0
-0.7057572594841192,-0.4642317440146919,-0.39678133220882345,-0.24860732278732312,-0.31552139611938423,-0.15763448064073016,0.04380007897169784,0.14770992791265714,-0.3160394114794245,-0.3052680431091731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,0
-0.09815025880158067,-0.39029547701675776,-0.39678133220882345,-0.24860732278732312,-0.33785546925757215,-0.486050515309635,-0.17230145996645546,-0.26385721740535684,-0.3160394114794245,-0.3052680431091731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0
-0.4019537591428499,-0.1656429734461115,-0.39678133220882345,-0.24860732278732312,2.9005851357796764,1.2869729719414116,-0.4225343928703267,-0.8019932848951213,2.5056537804643124,-0.3052680431091731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,2.0,1
